Channel Title,Channel Username,ID,Message,Date,Media Path,Emoji,Link
Doctors Ethiopia,@DoctorsET,822,"ዛሬ ምሽት 3:30 በ ፋና ቴሌቪዥን 
           ልዮ ፕሮግራም 

በተለያዩ ማህበራዊ ሚዲያዎች ይሸጣሉ ተብለው የሚሸጡ : ሰውነትን ያጠልቃሉ ተብለው የሚሸጡ የ (ፕሮቲን ፓውደሮች : ክሬቲን ፓውደሮች ) እና ሌሎችም  እውነት ሰውነትን ይገነባሉ ?

ቦርጮ ሰልችቶታል : ሴትም ወንድም ቦርጭ ሊኖራቸው ይችላል ። ምጥፋትስ ይፈልጋሉ ?

ቦርጫም መባል ቀረ ! ዛሬ ምሽት ሳይንዊ እንዲሁም ስፖርታዊ መንገዶችን ይወቁ።

  ከ ፆም በኋላ ስፖርት ለሚጀምሩ ማወቅ ያለባቸውን ነገሮች ከ አሰልጣኝ ትንሳይ ብርሃኑ ጋር ቆይታ አድርገናል ይጠብቁን።

ስፖርት ቤት ( ጂም) ለመጀመር   ካሰቡ ዛሬ ይህን አዝናኝ ቆይታ በ ፋና ቴሌቪዥን ይጠብቁን።
 
አርብ ምሽት 3:30 በ ፋና ቴሌቪዥን 

ISSA certified personal Trainer and Nutritionist Tinsay Birhanu 
          Pulse Fitness


ይህን ፕሮግራም ስፖንሰር ያደረገላቹ

    ሃያት ሆስፒታል ሜዲካል ኮሌጅ",2022-04-22 17:51:04+00:00,photos\@DoctorsET_822.jpg,,
Doctors Ethiopia,@DoctorsET,821,"ከ ፆም በኋላ ፈፅሞ ማድረግ የሌለብን የገሮች ምንድን ናቸው?

አመጋገባችን ምን መምሰልስ አለበት ?

ከ ፆም በኋላ ብዙ መመገብ የሚያመጣው የህመም አይነቶች ምንድን ናቸው ?

ስኳር ነክ ነገሮችን በ ፆም ወቅት መመገብ ጉዳት አለው ወይ?

ሊመለከቱት የሚገባ 
 ተጭነው ይመልከቱ 
",2022-04-19 17:38:05+00:00,,👇👇👇👇👇👇,https://youtu.be/Ov3Tug8fMG8
Doctors Ethiopia,@DoctorsET,820,,2022-04-15 18:06:19+00:00,photos\@DoctorsET_820.jpg,,
Doctors Ethiopia,@DoctorsET,819,,2022-04-15 18:06:19+00:00,photos\@DoctorsET_819.jpg,,
Doctors Ethiopia,@DoctorsET,818,"ዛሬ ምሽት 3:30 በ ፋና ቴሌቪዥን 
  ዶክተርስ ገበታ ፕሮግራም 

በ ፆም ወቅት መመገብ ያለቡን ምግቦች ምንድን ናቸው ?

ከ ፆም በኋላ ምንመገባቸውን ምግቦች ምን መጠንቀቅ አለብን

ከተመልካች ከተላከልን ጥያቄ ቦርጬ በጣም እያሳቀቀኝ ነው ምን ማድረግ አለብኝ

ቦርጭ በ ቀዶ ህክምና ይጠፋል ወይ?

እና ሌሎችም አዝናኝ እና አስተማሪ ፕሮግራሞች በ ዶክተርስ ገበታ ፕሮግራም 

ምግብ ከተመገቡ በኋላ ድካም  እንቅልፍ እንቅልፍ ማለት መንስኤው ምን ይሆን?

ዛሬ አርብ ምሽት 3:30 ላይ ይጠብቁን 


ይህንን ፕሮግራም ስፖንሰር ያደረገላቹ 
  ሃያት ሆስፒታል ሜዲካል ኮሌጅ",2022-04-15 18:06:19+00:00,photos\@DoctorsET_818.jpg,,
Doctors Ethiopia,@DoctorsET,817,"Ethiopian Medical Association's 58th Medical Conference is slated to be held on Friday, April 15, 2022, and Saturday April 16,2022. 

We cordially invite any interested health professionals to attend the conference virtually using the link below. 

 

#annualmedicalconference #ema #58th #paneldiscussions #scientific sessions #abstracts",2022-04-14 04:14:11+00:00,,,https://www.ethiopianmedicalass.org/58th-amc-registration/
Doctors Ethiopia,@DoctorsET,815,"ስለ ወንድ ዘር ማወቅ ያለቦት ዋና ዋና ነገሮች 

ቁመት ይጨምራል ?

በሃሪ ይቀይራል? 

ትከሻን ያሰፋል?

ከታች ያለውን ሊንክ ተጭነው ይመልከቱ 

",2022-04-12 18:01:18+00:00,,👇👇👇👇👇👇👇👇👇👇👇,https://youtu.be/XvlWvRYo-TU
Doctors Ethiopia,@DoctorsET,814,,2022-04-08 17:07:21+00:00,photos\@DoctorsET_814.jpg,,
Doctors Ethiopia,@DoctorsET,813,,2022-04-08 17:07:21+00:00,photos\@DoctorsET_813.jpg,,
Doctors Ethiopia,@DoctorsET,812,,2022-04-08 17:07:21+00:00,photos\@DoctorsET_812.jpg,,
Doctors Ethiopia,@DoctorsET,811,"ዛሬ ምሽት 3:30 በ ፋና ቴሌቪዥን ዶክተርስ ኢትዮጵያ 

            የብዙ ሰው ጥያቄ የሆነው 
በስፖርት መስሪያ ቤቶች ውስጥ ሰውነት ማደለቢያ  በ ኪኒን እና መርፌ መልክ የሚሰጡ ስቴሮይድስ ምንድን ናቸው?

ደየም ግፊቶ ከፍ ብሏል ተብለውስ ይሆን ?
   የደም ግፊት ሲባል ምን ማለት ነው?

እና ሌሎችም ጉዳዮችን ወደናንተ ይዘን እንመጣለን 

ዛሬ ምሽት 3:30 ላይ በ ፋና ቴሌቪዥን ይጠብቁን

ይህን ፕሮግራም ስፖንሰር ያደረጉላቹ 

ሃያት ሆስፒታል 
ራማዳ አዲስ ሆቴል",2022-04-08 17:07:21+00:00,photos\@DoctorsET_811.jpg,,
Doctors Ethiopia,@DoctorsET,810,,2022-04-07 04:24:11+00:00,photos\@DoctorsET_810.jpg,,
Doctors Ethiopia,@DoctorsET,809,,2022-04-07 04:24:11+00:00,photos\@DoctorsET_809.jpg,,
Doctors Ethiopia,@DoctorsET,808,,2022-04-07 04:24:11+00:00,photos\@DoctorsET_808.jpg,,
